Symbol,Market,TradingPeriod,TradingUnits
if,sf,"9:30 - 11:30, 13:00 - 15:00",300
ih,sf,"9:30 - 11:30, 13:00 - 15:00",300
ic,sf,"9:30 - 11:30, 13:00 - 15:00",200
tf,sf,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",10000
t,sf,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",10000
a,dc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 21:00 - 00:00, 00:00 - 2:30",10
ag,sc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 21:00 - 00:00, 00:00 - 2:30",15
al,sc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:00 - 00:00, 00:00 - 1:00",5
au,sc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 21:00 - 00:00, 00:00 - 2:30",1000
b,dc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",10
bb,dc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",500
bu,sc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:00 - 00:00, 00:00 - 1:00",10
c,dc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",10
cf,zc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 21:00 - 23:00",5
cs,dc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",10
cu,sc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:00 - 00:00, 00:00 - 1:00",5
fb,dc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",500
fg,zc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",20
fu,sc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",50
hc,sc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:00 - 00:00, 00:00 - 1:00",10
i,dc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 21:00 - 00:00, 00:00 - 2:30",100
j,dc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 21:00 - 00:00, 00:00 - 2:30",100
jd,dc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",10
jm,dc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 21:00 - 00:00, 00:00 - 2:30",60
jr,zc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",20
l,dc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",5
lr,zc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",20
m,dc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 21:00 - 00:00, 00:00 - 2:30",10
ma,zc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 21:00 - 23:00",10
ni,sc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",1
oi,zc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",10
p,dc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 21:00 - 00:00, 00:00 - 2:30",10
pb,sc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:00 - 00:00, 00:00 - 1:00",5
pm,zc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",20
pp,dc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",5
rb,sc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:00 - 00:00, 00:00 - 1:00",10
ri,zc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",20
rm,zc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 21:00 - 23:00",10
rs,zc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",10
ru,sc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 21:00 - 23:00",10
sf,zc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",5
sm,zc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",5
sn,sc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",1
sr,zc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 21:00 - 23:00",10
ta,zc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 21:00 - 23:00",5
tc,zc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",100
zc,zc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",100
v,dc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",5
wh,zc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",20
wr,sc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00",10
y,dc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 21:00 - 00:00, 00:00 - 2:30",10
zn,sc,"9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:00 - 00:00, 00:00 - 1:00",5
